link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://zoopla.co.uk/to-rent/details/71971244,Century 21 London Central,Marylebone,4247,303,299,4,2
https://zoopla.co.uk/to-rent/details/72946228,OpenRent,Marylebone,4750,339,411,-72,3
https://zoopla.co.uk/to-rent/details/71518889,Palm Estates,Marylebone,6000,429,411,18,3
https://openrent.co.uk/2894590,OpenRent,Kensington Olympia,2200,157,237,-80,2
https://openrent.co.uk/2896740,OpenRent,Covent Garden,2400,171,391,-220,2
https://openrent.co.uk/2837319,OpenRent,Regent's Park,2600,186,354,-168,2
https://openrent.co.uk/2904912,OpenRent,Baker Street,2850,204,349,-145,2
https://openrent.co.uk/2919705,OpenRent,Regent's Park,2950,211,514,-303,3
https://zoopla.co.uk/to-rent/details/33336367,Arbitrage Group,Covent Garden,3100,221,391,-170,2
https://openrent.co.uk/2864531,OpenRent,Regent's Park,3250,232,514,-282,3
https://zoopla.co.uk/to-rent/details/73390601,OpenRent,Baker Street,3445,246,349,-103,2
https://openrent.co.uk/2868874,OpenRent,Baker Street,3500,250,474,-224,3
https://zoopla.co.uk/to-rent/details/73133645,PMP International,Baker Street,3683,263,349,-86,2
https://openrent.co.uk/2930754,OpenRent,Baker Street,3748,268,474,-206,3
https://openrent.co.uk/2889380,OpenRent,Covent Garden,3950,282,391,-109,2
https://openrent.co.uk/2913632,OpenRent,Kensington Olympia,3950,282,362,-80,3
https://openrent.co.uk/2918648,OpenRent,Regent's Park,4100,293,495,-202,4
https://openrent.co.uk/2879224,OpenRent,Regent's Park,4132,295,354,-59,2
https://openrent.co.uk/2928049,OpenRent,Baker Street,4150,296,474,-178,3
https://openrent.co.uk/2879257,OpenRent,Regent's Park,4312,308,354,-46,2
https://openrent.co.uk/2931704,OpenRent,Victoria,4500,321,356,-35,2
https://openrent.co.uk/740648,OpenRent,Soho,4700,336,957,-621,4
https://openrent.co.uk/2916199,OpenRent,Regent's Park,4750,339,514,-175,3
https://openrent.co.uk/2801116,OpenRent,Kensington Olympia,4900,350,540,-190,4
https://openrent.co.uk/2897704,OpenRent,Farringdon,5000,357,311,46,2
https://openrent.co.uk/2893699,OpenRent,Lancaster Gate,5800,414,462,-48,3
https://openrent.co.uk/2872665,OpenRent,Baker Street,6000,429,474,-45,3
https://openrent.co.uk/2929282,OpenRent,Regent's Park,6200,443,495,-52,4
https://openrent.co.uk/2767203,OpenRent,Victoria,6500,464,706,-242,3
https://openrent.co.uk/2927057,OpenRent,Kensington Olympia,6500,464,540,-76,4
https://openrent.co.uk/2855203,OpenRent,Kensington Olympia,6600,471,866,-395,6
https://openrent.co.uk/2929699,OpenRent,Kensington Olympia,8299,,,,4
