link,listed_by,station,rent,nightly_rate_needed,airdna_adr,margin,beds
https://onthemarket.com/details/19722540,Hugh F Shaw & Co - Marylebone,Baker Street,3142,224,349,-125,2
https://zoopla.co.uk/to-rent/details/73452365,Benham and Reeves - Hyde Park,Lancaster Gate,4000,286,295,-9,2
https://zoopla.co.uk/to-rent/details/73457335,LiFE Residential - Nine Elms Riverside,Victoria,4550,325,356,-31,2
https://openrent.co.uk/2933572,OpenRent,Regent's Park,1300,93,495,-402,4
https://openrent.co.uk/2887430,OpenRent,Regent's Park,2350,168,354,-186,2
https://openrent.co.uk/2876569,OpenRent,Chancery Lane,2700,193,539,-346,3
https://openrent.co.uk/1249295,OpenRent,Baker Street,2750,196,349,-153,2
https://openrent.co.uk/2848441,OpenRent,Soho,2950,211,399,-188,2
https://openrent.co.uk/2904312,OpenRent,Baker Street,3250,232,349,-117,2
https://openrent.co.uk/1932405,OpenRent,Kensington Olympia,3450,246,362,-116,3
https://openrent.co.uk/2926654,OpenRent,Soho,3500,250,399,-149,2
https://zoopla.co.uk/to-rent/details/73460994,Blackstones Estates,King's Cross St Pancras,3500,250,346,-96,3
https://openrent.co.uk/2916600,OpenRent,Regent's Park,3700,264,514,-250,3
https://openrent.co.uk/2891102,OpenRent,Lancaster Gate,3813,272,295,-23,2
https://openrent.co.uk/2889642,OpenRent,Soho,4000,286,637,-351,3
https://openrent.co.uk/2931019,OpenRent,Kensington Olympia,4117,294,540,-246,4
https://openrent.co.uk/2871387,OpenRent,King's Cross St Pancras,4172,298,346,-48,3
https://openrent.co.uk/2591961,OpenRent,Regent's Park,4200,300,354,-54,2
https://openrent.co.uk/2929804,OpenRent,Victoria,4600,329,356,-27,2
https://openrent.co.uk/2875826,OpenRent,Soho,4658,333,957,-624,4
https://openrent.co.uk/2931761,OpenRent,Holborn,5070,362,430,-68,4
https://openrent.co.uk/2915352,OpenRent,Soho,5200,371,637,-266,3
